X;Y;S
6.0;21;42
6.0;20;40
6.0;18;34
6.0;19;38
6.0;21.5;41.5
6.0;24.5;42
6.0;26;46
6.0;20;36
7.0;17;27
7.0;18;30
7.0;19;32
7.0;21.5;35
7.0;23;38
7.0;25;40
7.0;26;41
6.5;24.5;37
6.5;22;33
6.5;20;30
